"State","BlackTotal","BlackPerc"
"Mississippi","1148334","0.3877"
"Louisiana","1556081","0.3371"
"Maryland","1916619","0.3155"
"Georgia","3436530","0.3142"
"Alabama","1340976","0.2709"
"South Carolina","1410419","0.2640"
"Delaware","229730","0.2300"
"North Carolina","2360234","0.2184"
"Virginia","1782852","0.2064"
"New York","3379351","0.1758"
"Tennessee","1200241","0.1714"
"Florida","3653866","0.1648"
"Arkansas","489192","0.1608"
"Illinois","1955309","0.1562"
"Michigan","1519461","0.1520"
"New Jersey","1318289","0.1486"
"Ohio","1654697","0.1411"
"Pennsylvania","1621737","0.1266"
"Connecticut","447432","0.1262"
"Missouri","779871","0.1261"
"Texas","3727750","0.1239"
"Indiana","720476","0.1053"
"Nevada","322756","0.0997"
"Kentucky","418010","0.0932"
"Massachusetts","643622","0.0930"
"Oklahoma","359841","0.0898"
"Rhode Island","89741","0.0845"
"Minnesota","428937","0.0747"
"Wisconsin","434778","0.0741"
"Kansas","214879","0.0736"
"California","2766478","0.0697"
"Nebraska","115778","0.0590"
"Arizona","405266","0.0530"
"Washington","410999","0.0521"
"Colorado","300065","0.0503"
"Alaska","35935","0.0499"
"West Virginia","85538","0.0487"
"Iowa","149977","0.0472"
"Hawaii","50593","0.0361"
"North Dakota","26761","0.0346"
"New Mexico","60672","0.0288"
"Oregon","119710","0.0277"
"South Dakota","23899","0.0265"
"New Hampshire","30753","0.0223"
"Maine","26929","0.0198"
"Vermont","12083","0.0194"
"Wyoming","9770","0.0168"
"Utah","55472","0.0165"
"Idaho","20453","0.0108"
"Montana","11278","0.0103"
